,seed,actions
52,3592570052,"[1, 2, 3, 2, 0, 2, 2, 1, 1, 1, 2, 1, 1, 3, 0, 2, 0, 0, 3, 0, 0, 3, 3, 1, 2, 0, 2, 2, 1, 1, 3, 0, 1, 0, 2, 1, 1, 1, 3, 0, 1, 0, 2, 0, 0, 0, 3]"
53,3592570053,"[2, 3, 0, 0, 0, 2, 1, 2, 1, 3, 1, 3, 1, 1, 2, 0, 1, 0, 3, 0, 0, 2, 3, 1, 1, 2, 0, 3, 0, 0, 2, 0, 2, 1, 1, 3]"
54,3592570054,"[0, 1, 3, 3, 0, 2, 1, 2, 2, 0, 0, 3, 2, 1, 3, 0, 2, 1, 1, 3, 3, 3, 0, 0, 2, 3, 1, 1, 2, 2, 0, 3, 1, 3, 0]"
55,3592570055,"[3, 0, 3, 3, 1, 3, 0, 1, 2, 0, 2, 2, 1, 3, 0, 3, 3, 0, 3, 2, 1, 2, 2, 1, 3, 2, 0, 3, 3, 0, 0]"
56,3592570056,"[2, 1, 3, 1, 2, 3, 3, 0, 2, 1, 2, 2]"
57,3592570057,"[3, 0, 0, 3, 0, 3, 3, 1, 1, 2, 0, 3, 2, 2, 2, 2, 2, 1, 3, 3, 3, 0, 3, 1, 3, 1, 2, 2, 2]"
58,3592570058,"[3, 1, 2, 0, 3, 1, 3, 0, 3, 1, 1, 2, 1, 2, 1, 2, 1, 3, 3, 0, 1, 2, 0, 2, 1, 2, 0, 0, 0, 0, 3, 3, 1, 0, 2, 0, 2, 1, 1, 1, 1, 3, 1, 3, 0, 3, 0, 1, 2, 0, 1, 2, 1, 2, 0, 0, 0, 0, 3, 0, 3, 1, 3, 1, 3, 0, 2, 0, 2, 1, 2, 0, 2, 1, 1, 1, 1, 3, 1, 3, 0, 3, 0, 2, 1, 2, 1, 2, 0, 0, 0, 0, 3, 3, 1, 0, 2, 0, 3, 3, 1, 3, 1, 2, 3, 0, 2, 0, 2, 1, 2, 0, 2, 1, 1, 1, 3, 3, 1, 2, 1, 2, 0, 0, 0, 0, 3, 0, 3, 1, 3, 1, 1, 0, 3, 0, 2, 2, 1, 0, 2, 0, 2, 1, 1, 1, 1, 3, 1, 3, 3, 0, 1, 2, 0, 2, 1, 2, 0, 0, 0, 0, 3, 0, 3, 1, 1, 1, 0, 1, 2, 1, 1, 3, 3, 0, 0, 2, 0, 0, 2, 0, 2, 1, 1, 1, 1, 3, 1, 3, 0, 2, 1, 2, 0, 0, 0, 0, 3, 0, 3, 1, 3, 1, 1, 0, 3, 0, 2, 0, 2, 1, 2, 0, 2, 1, 1, 1, 1, 3, 3, 0, 3, 1]"
59,3592570059,"[3, 2, 2, 2, 1, 3, 1, 1, 2, 0, 1, 2, 0, 3, 3, 0, 0, 3, 1, 0, 2, 2, 1, 3, 1, 1, 3, 0, 1, 2, 2, 2, 0, 3, 1, 2, 0, 3, 0, 3, 0, 3, 1, 0, 2, 2, 1, 1, 1, 3, 0, 2, 1, 3, 3, 0, 1, 2, 0, 2, 0, 0, 3, 1, 0, 2, 1, 1, 1, 3, 0, 2, 0, 0, 3, 3, 1, 0, 2, 1, 0, 2, 1, 1, 1, 3, 3, 0, 2, 0, 0, 3, 1, 0, 2, 2, 1, 3, 1, 1, 2, 0, 1, 2, 0, 3, 3, 1, 3, 0, 1, 2, 0, 0, 0, 2, 1, 1]"
60,3592570060,"[1, 1, 0, 1, 3, 1, 1, 3, 3, 3, 0, 1, 2, 2, 2, 2, 0, 3, 2, 1, 3, 3, 3, 3, 0, 3, 0, 0, 2, 1, 0, 1, 3, 1, 1, 2, 2, 2, 2, 2, 0, 0, 1, 3, 1, 3, 3, 3, 0, 1, 2, 2, 2, 2, 0, 0, 0, 1, 1, 3, 1, 3, 3, 3, 0, 3, 0, 0, 2, 1, 0, 1, 3, 1, 1, 2, 2, 2, 2, 2, 0, 3, 0, 2, 0, 0, 3, 2, 1, 1, 1, 3, 1, 3, 3, 3, 0]"
61,3592570061,"[1, 0, 0, 0, 3, 3, 0, 3, 3, 1, 1, 2, 0, 1, 3, 0, 2, 2, 2, 2, 1, 1, 3, 0, 2, 0, 0, 3, 3, 1, 3, 1, 3, 0, 0, 2, 3, 1, 2, 2, 2, 1, 0, 0, 2, 1, 3, 3, 3, 0, 2, 1, 2, 2, 1, 0, 1, 3, 0, 3, 0, 2]"
62,3592570062,"[0, 3, 1, 2, 0, 3, 0, 3, 3, 1, 1, 2, 0, 2, 2, 1, 3, 2, 0, 3, 3, 3, 1, 2, 2]"
63,3592570063,"[1, 3, 3, 2, 3, 0, 3, 1, 0, 2, 1, 2, 2, 0, 3, 3]"
64,3592570064,"[2, 1, 2, 1, 0, 3, 0, 2, 1, 2, 3, 1, 3, 0, 0, 0, 2, 2, 2, 1, 1, 3, 3, 0, 2, 1, 2, 1, 1]"
65,3592570065,"[1, 3, 3, 3, 2, 3, 0, 3, 0]"
66,3592570066,"[0, 2, 0, 3, 1, 1, 2, 0, 2]"
67,3592570067,"[2, 0, 3, 1, 0, 0, 2, 1, 1, 1, 1, 3, 0, 1, 0, 2, 0, 0, 3, 3, 2, 3, 0, 2, 2, 1, 1, 1, 3, 0, 1, 1, 2, 0, 0, 0, 0, 3, 3, 1, 3, 2, 0, 2, 2, 1, 3, 1, 1, 1, 2, 0, 0, 0, 3, 0, 3, 3, 1, 3, 0, 1, 2, 0, 2, 2, 1, 3, 2, 1, 1, 1, 2, 0, 0, 0, 0, 3, 3, 3, 3, 1, 2, 2, 0, 2, 1, 1, 1]"
68,3592570068,"[1, 1, 2, 0, 3, 2, 1, 1, 2, 2, 0, 3, 3]"
69,3592570069,"[1, 3, 1, 3, 0, 2, 3, 1, 2, 2, 1, 3]"
70,3592570070,"[1, 3, 3, 0, 3, 2, 1, 3]"
71,3592570071,"[2, 1, 1, 3, 1, 3, 2, 0, 2, 1, 0, 3, 1, 3, 1, 1, 2, 0, 0, 2, 1]"
72,3592570072,"[0, 1, 3, 0]"
73,3592570073,"[1, 3, 1, 0, 1, 3, 1, 2]"
74,3592570074,"[3, 2, 0, 0, 0, 0, 3, 1, 1, 3, 0, 1, 0, 3, 0, 0, 2, 2, 1, 2, 1, 1, 1, 1, 3, 0, 1, 2, 0, 0, 0, 0, 3, 0, 3, 3, 1, 1, 2, 0]"
75,3592570075,"[2, 1, 3, 2, 1, 0, 3, 3, 2, 2, 1, 1, 1, 2, 1, 3, 3, 3]"
76,3592570076,"[1, 3, 2, 1, 1, 2, 0, 2, 0, 3, 1, 1, 3, 0, 3, 3, 3, 0, 0, 2, 1, 3, 2, 2, 1, 2, 1, 2, 0, 0, 3, 2, 1, 1, 3, 0, 3, 1, 3, 3, 0, 0, 2, 1, 0, 1, 2, 2, 0, 3, 2, 2, 1, 1, 3, 3, 3, 0, 3, 0, 0, 2, 1, 1]"
77,3592570077,"[2, 3, 0, 0, 2, 2, 0, 3, 1, 0, 2, 1, 1, 3, 1, 0, 2, 0, 3, 0, 3, 2, 1, 1, 1, 3, 0, 1, 2, 0, 2, 0, 3, 0, 3, 3, 2, 2, 1, 3, 2, 1, 1, 3, 0, 0, 0, 3, 3, 1, 3, 0, 2, 2, 2, 1, 3]"
78,3592570078,"[3, 2, 3, 0, 0, 0, 2, 0, 0, 3, 1, 0, 1, 2, 1, 1, 3, 1, 1, 3, 0, 2, 0, 2, 0, 0, 3, 1, 1, 1, 0, 1, 3, 1, 3, 2, 2, 0, 1, 3, 3, 3]"
79,3592570079,"[2, 2, 2, 1, 3, 0, 2, 1, 2, 2, 0, 3, 1, 3, 3, 0, 3, 1, 2, 0, 2]"
80,3592570080,"[0, 3, 3, 0, 3, 1, 1, 1, 2, 0, 0, 3, 2, 2, 2, 0, 2, 0, 0, 3, 3, 1, 3, 0, 3, 1, 1, 1, 2, 0, 1, 0, 3, 0, 0, 2, 2, 2, 2, 1, 3, 2, 1, 3, 1, 3, 3, 0, 0, 1, 1, 2, 2, 0, 0, 3]"
81,3592570081,"[2, 1, 3, 1, 1, 3, 1, 1, 2, 0, 1, 2, 0, 0, 0, 3, 3, 1, 1, 2, 0, 3, 0, 0, 0, 2, 2, 1, 3, 0, 3, 1, 1, 1, 2, 0, 1, 2, 0, 3, 1, 3, 0, 0, 0, 2, 1, 0, 3, 1, 1, 1, 2, 0, 1, 0, 3, 0, 0, 2, 2, 1, 0, 3, 3, 1, 1, 2, 0, 2, 1, 1, 1]"
82,3592570082,"[0, 2, 0, 1, 1, 2, 0, 3, 0, 0, 1, 1, 2, 0, 1, 3, 0, 0, 0, 1, 3, 0, 2, 2, 0, 3, 1, 1, 1, 2, 0, 0]"
83,3592570083,"[1, 3, 3, 1, 1, 2, 0, 1, 2, 2, 2, 2, 0, 3, 0, 3, 3, 1, 3, 1, 3, 0, 0, 2, 3, 2, 1, 1, 2, 3, 2, 0, 3, 0, 2, 3, 3, 1, 2, 1, 2, 2, 3, 3, 0, 3, 0, 2, 2, 2, 3, 3, 3, 1, 2, 1, 2, 2, 2, 0, 1, 3, 3, 3, 0, 3, 0, 2, 2, 2, 2]"
84,3592570084,"[2, 3, 0, 0, 0, 1, 0, 3, 1, 1, 2, 1, 2, 0, 1, 3, 0, 3, 0, 2, 0, 3, 0, 0, 2, 1, 0, 3, 1, 1, 1, 2, 1, 2, 0, 3, 0, 1, 2, 0, 3, 1, 3, 0, 0, 0, 2, 1, 0, 2, 2, 1, 3, 0, 2, 1, 3, 1, 1, 3, 3, 0, 2, 1, 0, 3, 0, 0, 2, 1, 0, 3, 1, 1, 1, 2, 2, 0, 1, 3, 0, 1, 0, 3, 0, 0, 2, 2, 1, 0, 3, 3, 1, 2, 1, 1, 3, 0, 0, 0, 2, 2, 2, 1, 3, 1, 3, 1, 3, 0, 0, 2, 1, 2, 1, 3, 0, 3, 0, 0, 2, 2, 2, 1, 3, 0, 2, 1, 3, 1, 1, 1]"
85,3592570085,"[1, 3, 3, 1, 2]"
86,3592570086,"[1, 3, 1, 1, 1, 3, 0, 0, 3, 3, 1, 2, 0, 2, 0]"
87,3592570087,"[1, 2, 2, 0, 2, 0, 1, 1, 2, 0, 0, 3, 3, 1, 1, 3, 3, 0, 0, 2, 3, 2, 1, 1, 2, 0, 2, 0, 0, 3, 2, 1, 1, 1, 3, 0, 3, 0, 2, 1, 2, 1, 3, 3, 3, 0, 0, 2, 2, 0, 2, 1, 3, 1, 1, 2, 0, 1, 2, 0, 0, 3, 1, 1, 2, 0, 0, 3, 0, 3, 1, 0, 2, 1, 1, 1, 3, 3, 0, 2, 0, 1, 1, 2, 2, 0, 3, 3]"
88,3592570088,[]
89,3592570089,"[3, 0, 1, 3, 0, 2, 0, 1, 3, 0, 2, 0, 1, 0, 2, 0, 3, 3, 2, 1, 1, 3, 0]"
90,3592570090,"[3, 0, 1, 2, 1, 1, 3, 0]"
91,3592570091,"[1, 2, 1, 0, 3, 0, 0, 2, 1, 2, 1, 0, 3, 1, 2, 1, 0, 3, 1, 2, 1, 0, 3, 1]"
92,3592570092,"[1, 3, 0, 1, 2, 0, 3, 3, 3, 1, 2, 0, 2, 0, 1, 2, 1, 3]"
93,3592570093,"[3, 0, 2, 1, 3, 3, 3, 0, 2, 0, 2, 0, 1, 3, 1, 1, 2, 0, 0]"
94,3592570094,"[2, 0, 0, 3, 0, 0, 2, 1]"
95,3592570095,"[2, 2, 3, 3, 1, 1, 2, 0, 3, 2, 2, 2, 0, 1, 0, 3, 1, 3, 0, 1, 0, 3, 0, 2, 1, 1, 3, 0, 0, 2, 0, 2, 1, 0, 1, 3, 1, 1, 3, 1, 2, 1, 2, 2, 0, 0, 0, 3, 2, 1, 3, 3, 3, 0, 2, 1, 0, 3, 0, 2, 2, 1, 3, 1, 3, 1, 2, 1, 2, 2, 0, 0, 3, 2, 0, 3, 3, 3, 1, 1, 2, 0, 3, 2, 2, 2, 0, 3, 0, 3, 1, 3, 1, 2, 0, 2, 1, 3, 0, 3, 1, 1, 2, 1, 2, 2, 0, 3]"
96,3592570096,"[1, 1, 3, 1, 1, 3, 0, 0, 3, 0, 3, 0, 2, 1, 2, 2, 1, 1, 1, 3, 0, 0, 3, 0, 0, 2, 2, 1, 1, 1, 1, 3, 0, 0, 3, 0, 3, 0, 2, 2, 2, 0, 2, 2, 1, 1, 3, 1, 0, 2, 0, 0, 3, 1, 3, 1, 0, 2, 0, 2, 1, 1, 3, 1, 3, 1, 0, 2, 0, 0, 3, 3, 1, 2]"
97,3592570097,"[2, 0, 1, 3, 0, 2, 2, 0, 0, 0, 2, 0, 2, 1, 1, 3, 0, 3, 3, 1, 2, 1, 1, 3, 0, 0, 3, 2, 2, 0, 2, 0, 2, 1, 1, 3, 0, 3, 1, 2, 0, 3, 1, 3, 3, 0, 2, 3, 1, 2, 1, 1, 2, 0, 3, 0, 0, 2, 1, 2, 2, 0, 3, 1, 3, 3, 0, 2, 1, 0, 3, 3, 1, 2, 1, 1, 2, 0, 3, 0, 3, 0, 2, 2, 2, 3, 1, 2, 2, 0, 3, 1, 3, 0, 3, 3, 1, 2, 1, 1, 2, 0, 3, 0, 2, 1, 0, 0, 2, 2, 1, 3, 0, 3, 3, 3, 1, 2, 1, 2, 0, 2, 3, 1, 3, 0, 0, 2, 1, 2, 2, 0, 3, 3]"
98,3592570098,"[0, 1, 3, 3, 0, 1, 3, 1, 2, 1, 2, 0, 1, 3, 0, 3, 0, 2, 0, 0, 1, 1, 3, 1, 2, 1, 2, 0, 2, 0, 3, 2, 0, 0, 0, 3, 1, 3, 3, 0, 2, 3, 1, 2, 1, 2, 2, 1, 3, 1, 3, 0, 3, 2, 2, 2, 0, 0, 0, 3, 2, 1, 1, 1, 3, 0, 0, 3, 1, 0, 1, 2, 2, 1, 3, 1, 3, 0, 3, 2, 2, 2, 0, 0, 0, 3, 1, 3, 3, 0, 2, 1, 1, 0, 1, 2, 2, 0, 0, 3, 2, 1, 1, 1, 3, 1, 1, 3, 0, 3, 0, 2, 0, 1, 3, 1, 2, 1, 2, 0, 2, 0, 0, 0, 0, 3, 1, 3, 3, 0, 2, 3, 1, 2, 1, 1, 3, 1, 2, 1, 2, 0, 2, 0, 3, 2, 0, 0, 3, 3, 1, 2, 1, 1, 1, 3, 0, 3, 0, 2, 0, 1, 3, 1, 2, 1, 2, 0, 2, 0, 0, 0, 0, 3, 2, 1, 1, 1, 1, 3, 0, 3, 0, 0, 3, 0, 2, 3, 1, 2, 1, 1, 2, 0, 3, 1, 3, 1, 2, 1, 2, 0, 0, 2, 0, 0, 0, 3, 1, 1, 1, 3, 0, 0, 3, 0, 2, 3, 1, 2, 1, 1, 3, 1, 2, 1, 2, 0, 0, 3, 0, 0, 2, 1, 1, 3, 0, 0, 2, 2, 0, 3, 2, 1, 1, 1, 1, 3, 0, 3, 0, 0, 3, 0, 2, 3, 1, 2, 1, 1, 3, 1, 1, 2, 0, 1, 2, 0, 0, 2, 0, 0, 3, 3, 1, 1, 0, 1, 3, 1, 1, 2, 2, 0, 0, 2, 0, 0, 0, 3, 2, 1, 1, 1, 3, 3, 3, 1, 1, 2, 0, 1, 2, 0, 0, 2, 0, 0, 0, 3, 1, 3, 1, 1, 1, 3, 0, 2, 0, 0, 3, 0, 2, 3, 1, 2, 1, 1, 3, 1, 1, 2, 0, 1, 3, 0, 0, 2, 0, 0, 2, 2, 0, 3]"
99,3592570099,"[2, 0, 2, 0, 3, 2, 2, 2, 1, 3, 0, 3, 3, 1, 2, 0, 1, 3, 3, 1, 3, 0, 0, 2, 3, 1, 2, 1, 2, 0, 2, 0, 2, 2, 1, 3, 0, 3, 3, 2, 2, 1, 3, 3, 0, 2, 1, 3, 1, 3, 3, 0, 0, 2, 3, 1, 1, 2, 0]"
